taxon_name	status	max_ma	min_ma
Alopias latidens	extinct	33.9	27.82
Araloselachus cuspidatus	extinct	33.9	27.82
Atlantoraja cecilae	extinct	33.9	27.82
Carcharhinus elongatus	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Dasyatis delfortriei	extinct	33.9	27.82
Galeocerdo aduncus	extinct	33.9	27.82
Isurolamna gracilis	extinct	33.9	27.82
Keasius parvus	extinct	33.9	27.82
Lethenia vandenbroecki	extinct	33.9	27.82
Macrorhizodus flandricus	extinct	33.9	27.82
Notorynchus primigenius	extinct	33.9	27.82
Pachyscyllium albigensis	extinct	33.9	27.82
Pachyscyllium distans	extinct	33.9	27.82
Parotodus benedeni	extinct	33.9	27.82
Physogaleus contortus	extinct	33.9	27.82
Scyliorhinus coupatezi	extinct	33.9	27.82
Squalus alsaticus	extinct	33.9	27.82
Squatina angeloides	extinct	33.9	27.82
Otodus angustidens	extinct	33.9	27.82
Otodus angustidens	extinct	33.9	27.82
Carcharhinus leucas	extant	2.58	0.0117
Carcharhinus perseus	extinct	37.71	27.82
Galeocerdo eaglesomei	extinct	37.71	27.82
Hemipristis curvatus	extinct	37.71	27.82
Misrichthys stromeri	extinct	37.71	27.82
Nebrius obliquus	extinct	37.71	27.82
Negaprion frequens	extinct	37.71	27.82
Odontorhytis pappenheimi	extinct	37.71	27.82
Cretolamna appendiculata	extinct	37.71	33.9
Cretolamna appendiculata	extinct	37.71	33.9
Brachycarcharias twiggsensis	extinct	47.8	33.9
Carcharodon carcharias	extant	47.8	33.9
Galeocerdo cuvier	extant	47.8	33.9
Hexanchus agassizi	extinct	47.8	33.9
Macrorhizodus praecursor	extinct	47.8	33.9
Negaprion frequens	extinct	47.8	33.9
Pristis aquitanicus	extinct	47.8	33.9
Pristis lathami	extinct	47.8	33.9
Rhinoptera sherborni	extinct	47.8	33.9
Otodus sokolovi	extinct	47.8	33.9
Carcharias contortidens	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Araloselachus cuspidatus	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Araloselachus cuspidatus	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Araloselachus cuspidatus	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Araloselachus cuspidatus	extinct	33.9	27.82
Carcharias contortidens	extinct	33.9	27.82
Keasius parvus	extinct	33.9	27.82
Physogaleus latus	extinct	33.9	27.82
Otodus angustidens	extinct	33.9	27.82
Centrophorus granulosus	extant	2.58	0.129
Centrophorus squamosus	extant	2.58	0.129
Centroselachus crepidater	extinct	2.58	0.129
Galeus melastomus	extant	2.58	0.129
Scymnodon ringens	extant	2.58	0.129
Carcharodon carcharias	extant	3.6	0.0117
